customer_id,credit_score,risk_segment
1,579,High
2,381,High
3,623,Medium
4,728,Low
5,673,Low
6,805,Very Low
7,770,Very Low
8,582,Medium
9,446,High
10,460,High
11,568,High
12,562,High
13,459,High
14,611,Medium
15,528,High
16,601,Medium
17,399,High
18,717,Low
19,527,High
20,490,High
21,369,High
22,811,Very Low
23,609,Medium
24,600,Medium
25,329,High
26,378,High
27,546,High
28,616,Medium
29,520,High
30,742,Very Low
31,429,High
32,457,High
33,473,High
34,367,High
35,446,High
36,767,Very Low
37,304,High
38,511,High
39,746,Very Low
40,668,Medium
41,358,High
42,615,Medium
43,422,High
44,678,Low
45,402,High
46,805,Very Low
47,611,Medium
48,703,Low
49,369,High
50,554,High
51,600,Medium
52,802,Very Low
53,503,High
54,462,High
55,675,Low
56,454,High
57,763,Very Low
58,602,Medium
59,544,High
60,587,Medium
61,328,High
62,498,High
63,352,High
64,392,High
65,739,Low
66,516,High
67,598,Medium
68,411,High
69,747,Very Low
70,390,High
71,615,Medium
72,585,Medium
73,342,High
74,515,High
75,562,High
76,386,High
77,417,High
78,318,High
79,351,High
80,805,Very Low
81,804,Very Low
82,433,High
83,510,High
84,615,Medium
85,774,Very Low
86,799,Very Low
87,648,Medium
88,417,High
89,465,High
90,440,High
91,807,Very Low
92,327,High
93,304,High
94,473,High
95,454,High
96,709,Low
97,361,High
98,495,High
99,389,High
100,695,Low
101,760,Very Low
102,768,Very Low
103,479,High
104,338,High
105,446,High
106,764,Very Low
107,376,High
108,755,Very Low
109,728,Low
110,429,High
111,622,Medium
112,728,Low
113,828,Very Low
114,849,Very Low
115,356,High
116,460,High
117,762,Very Low
118,371,High
119,649,Medium
120,619,Medium
121,578,High
122,311,High
123,658,Medium
124,819,Very Low
125,756,Very Low
126,332,High
127,731,Low
128,652,Medium
129,600,Medium
130,374,High
131,542,High
132,670,Medium
133,598,Medium
134,580,High
135,826,Very Low
136,821,Very Low
137,703,Low
138,571,High
139,680,Low
140,397,High
141,512,High
142,345,High
143,803,Very Low
144,531,High
145,428,High
146,611,Medium
147,345,High
