customer_id,gender,age,marital_status,education,region,annual_income
1,Male,52,Single,Master,South,1255723
2,Female,56,Single,High School,South,1590912
3,Male,57,Single,Master,West,838935
4,Male,68,Single,High School,North,884951
5,Male,34,Divorced,PhD,South,1328628
6,Female,47,Divorced,High School,East,926641
7,Male,39,Single,Master,South,1865449
8,Male,51,Divorced,Master,West,1921140
9,Male,66,Divorced,Master,North,1519911
10,Female,29,Single,Bachelor,North,864125
11,Male,58,Divorced,Bachelor,East,1572093
12,Male,37,Single,Master,East,1244419
13,Male,39,Divorced,PhD,East,844221
14,Male,64,Single,Master,East,591025
15,Female,24,Single,PhD,East,481570
16,Male,68,Divorced,Master,South,1251832
17,Female,31,Divorced,Master,South,650364
18,Female,42,Married,PhD,West,529867
19,Female,24,Single,High School,North,922674
20,Male,37,Single,Bachelor,South,1084784
21,Female,28,Single,Master,East,234262
22,Male,66,Single,PhD,West,1034032
23,Female,54,Divorced,PhD,East,569813
24,Female,31,Divorced,Bachelor,North,750214
25,Female,51,Married,Bachelor,East,1233110
26,Female,31,Single,High School,West,1183390
27,Female,58,Married,Master,West,234694
28,Female,41,Married,Bachelor,West,1348797
29,Female,66,Married,High School,North,658598
30,Female,50,Married,Master,South,1171922
31,Male,30,Married,Master,South,1638260
32,Male,46,Divorced,PhD,West,389725
33,Female,47,Divorced,Bachelor,South,1261017
34,Female,28,Married,High School,North,1261288
35,Female,59,Divorced,High School,East,1596599
36,Male,28,Divorced,PhD,North,1253845
37,Female,28,Married,High School,South,1696636
38,Male,54,Divorced,High School,North,485768
39,Male,36,Divorced,Master,East,800365
40,Male,61,Single,Bachelor,North,549241
41,Male,33,Married,PhD,South,1279836
42,Male,43,Single,Bachelor,East,1600543
43,Female,32,Single,High School,South,1194193
44,Female,47,Married,High School,East,516062
45,Female,42,Single,High School,West,1600095
46,Female,52,Single,Bachelor,East,1318216
47,Female,69,Divorced,PhD,South,1479453
48,Male,47,Single,PhD,West,1368932
49,Female,22,Married,Master,West,231199
50,Female,65,Divorced,PhD,South,1972295
51,Male,53,Divorced,Master,South,1295063
52,Female,46,Divorced,High School,North,724355
53,Male,48,Married,PhD,South,1929843
54,Female,39,Married,Master,East,767568
55,Male,63,Married,Master,West,681812
56,Female,25,Single,Bachelor,North,1248574
57,Female,53,Single,High School,North,1308527
58,Male,40,Divorced,PhD,North,1928264
59,Male,50,Divorced,PhD,West,1364027
60,Male,65,Married,PhD,North,1843972
61,Male,28,Married,Master,West,1376068
62,Male,58,Single,PhD,West,372509
63,Male,37,Single,PhD,North,1957701
64,Male,64,Married,PhD,West,1745135
65,Male,21,Married,High School,North,1129837
66,Female,23,Single,High School,South,1229728
67,Female,66,Divorced,Master,East,348479
68,Male,46,Divorced,Bachelor,South,1918895
69,Female,51,Single,PhD,East,1369102
70,Female,28,Single,PhD,West,930980
71,Female,63,Divorced,Master,West,1729288
72,Female,66,Single,PhD,North,425726
73,Male,28,Divorced,Bachelor,South,827330
74,Female,55,Divorced,Master,South,1124318
75,Male,59,Single,High School,West,448186
76,Female,48,Married,Bachelor,South,632742
77,Female,24,Married,PhD,East,1990598
78,Female,36,Married,Bachelor,West,1506639
79,Male,33,Married,High School,North,1217339
