loan_id,loan_status,default_flag
1,Paid,0
2,Active,0
3,Active,0
4,Active,0
5,Paid,0
6,Active,0
7,Paid,0
8,Active,0
9,Active,0
10,Paid,0
11,Active,0
12,Active,0
13,Active,0
14,Default,1
15,Active,0
16,Default,1
17,Active,0
18,Paid,0
19,Paid,0
20,Active,0
21,Active,0
22,Active,0
23,Default,1
24,Active,0
25,Paid,0
26,Active,0
27,Active,0
28,Default,1
29,Active,0
30,Default,1
31,Paid,0
32,Default,1
33,Active,0
34,Paid,0
35,Active,0
36,Active,0
37,Active,0
38,Active,0
39,Paid,0
40,Default,1
41,Active,0
42,Active,0
43,Active,0
44,Active,0
45,Default,1
46,Active,0
47,Active,0
48,Active,0
49,Active,0
50,Paid,0
51,Paid,0
52,Active,0
53,Paid,0
54,Active,0
55,Active,0
56,Paid,0
57,Paid,0
58,Active,0
59,Active,0
60,Default,1
61,Active,0
62,Active,0
63,Paid,0
64,Active,0
65,Active,0
66,Active,0
67,Paid,0
68,Default,1
69,Paid,0
70,Default,1
71,Paid,0
72,Active,0
73,Default,1
74,Active,0
75,Paid,0
76,Active,0
77,Paid,0
78,Paid,0
79,Paid,0
80,Active,0
81,Paid,0
82,Paid,0
83,Paid,0
84,Active,0
85,Paid,0
86,Active,0
87,Paid,0
88,Default,1
89,Default,1
90,Active,0
91,Paid,0
92,Paid,0
93,Active,0
94,Paid,0
95,Default,1
96,Active,0
97,Active,0
98,Paid,0
99,Default,1
100,Paid,0
101,Default,1
102,Paid,0
103,Default,1
104,Active,0
105,Active,0
106,Paid,0
107,Default,1
108,Default,1
109,Paid,0
110,Paid,0
111,Active,0
112,Active,0
113,Default,1
114,Active,0
115,Active,0
116,Active,0
117,Default,1
118,Default,1
119,Active,0
120,Paid,0
121,Paid,0
122,Paid,0
123,Default,1
124,Paid,0
125,Active,0
126,Active,0
127,Paid,0
128,Active,0
129,Active,0
130,Active,0
131,Paid,0
132,Active,0
133,Paid,0
134,Active,0
135,Active,0
136,Active,0
137,Paid,0
138,Default,1
139,Active,0
140,Paid,0
141,Paid,0
142,Paid,0
143,Paid,0
144,Default,1
145,Default,1
146,Active,0
147,Paid,0
148,Active,0
149,Active,0
150,Paid,0
151,Paid,0
152,Paid,0
153,Paid,0
154,Default,1
155,Default,1
156,Paid,0
157,Active,0
158,Active,0
159,Default,1
160,Active,0
161,Default,1
162,Paid,0
163,Active,0
164,Paid,0
165,Active,0
166,Active,0
167,Paid,0
168,Paid,0
169,Active,0
170,Active,0
171,Paid,0
172,Active,0
173,Paid,0
174,Active,0
175,Active,0
176,Paid,0
177,Default,1
178,Active,0
179,Paid,0
180,Active,0
181,Paid,0
182,Active,0
183,Paid,0
184,Paid,0
185,Paid,0
186,Default,1
187,Default,1
188,Paid,0
189,Active,0
190,Paid,0
191,Active,0
192,Default,1
193,Active,0
194,Active,0
195,Active,0
196,Paid,0
197,Active,0
198,Default,1
199,Active,0
200,Active,0
201,Paid,0
202,Active,0
203,Default,1
204,Active,0
205,Active,0
206,Active,0
207,Default,1
208,Paid,0
209,Active,0
210,Active,0
211,Paid,0
212,Default,1
213,Active,0
214,Paid,0
215,Active,0
216,Active,0
217,Paid,0
218,Paid,0
219,Paid,0
220,Default,1
221,Default,1
222,Active,0
223,Active,0
224,Active,0
225,Paid,0
226,Default,1
227,Paid,0
228,Active,0
229,Paid,0
230,Paid,0
231,Active,0
232,Default,1
233,Paid,0
234,Active,0
235,Paid,0
236,Paid,0
237,Active,0
238,Paid,0
239,Active,0
240,Default,1
241,Paid,0
242,Active,0
243,Active,0
244,Active,0
245,Paid,0
246,Default,1
247,Active,0
248,Paid,0
249,Default,1
250,Paid,0
251,Active,0
252,Active,0
253,Active,0
254,Active,0
255,Active,0
256,Active,0
257,Active,0
258,Active,0
259,Default,1
260,Paid,0
261,Active,0
262,Paid,0
263,Paid,0
264,Active,0
265,Paid,0
266,Default,1
267,Active,0
268,Paid,0
269,Default,1
270,Active,0
271,Active,0
272,Paid,0
273,Active,0
274,Paid,0
275,Active,0
276,Paid,0
277,Active,0
278,Active,0
279,Active,0
280,Paid,0
281,Paid,0
282,Active,0
283,Paid,0
284,Default,1
285,Paid,0
286,Default,1
287,Active,0
288,Active,0
289,Active,0
290,Active,0
291,Paid,0
292,Paid,0
293,Active,0
294,Active,0
295,Active,0
296,Default,1
297,Active,0
298,Paid,0
299,Active,0
300,Paid,0
301,Active,0
302,Default,1
303,Paid,0
304,Active,0
305,Active,0
306,Paid,0
307,Active,0
308,Active,0
309,Active,0
310,Active,0
311,Active,0
312,Active,0
313,Active,0
314,Paid,0
315,Active,0
316,Paid,0
317,Paid,0
318,Paid,0
319,Paid,0
320,Active,0
321,Paid,0
322,Default,1
323,Active,0
324,Default,1
325,Default,1
326,Paid,0
327,Active,0
328,Default,1
329,Paid,0
330,Default,1
331,Active,0
332,Default,1
333,Active,0
334,Active,0
335,Active,0
336,Paid,0
337,Paid,0
338,Paid,0
339,Active,0
340,Active,0
341,Paid,0
342,Active,0
343,Default,1
344,Active,0
345,Active,0
346,Default,1
347,Paid,0
348,Active,0
349,Active,0
350,Active,0
351,Active,0
352,Active,0
353,Paid,0
354,Default,1
355,Active,0
356,Paid,0
357,Active,0
358,Paid,0
359,Active,0
360,Active,0
361,Active,0
362,Active,0
363,Paid,0
364,Paid,0
365,Active,0
366,Active,0
367,Paid,0
368,Paid,0
369,Default,1
370,Active,0
371,Paid,0
372,Active,0
373,Default,1
374,Paid,0
375,Active,0
376,Paid,0
377,Paid,0
378,Paid,0
379,Default,1
380,Default,1
381,Default,1
382,Active,0
383,Active,0
384,Default,1
385,Paid,0
386,Paid,0
387,Active,0
388,Default,1
389,Active,0
390,Active,0
391,Paid,0
392,Active,0
393,Active,0
394,Active,0
395,Active,0
396,Active,0
397,Paid,0
398,Active,0
399,Active,0
400,Default,1
401,Paid,0
402,Active,0
403,Active,0
404,Paid,0
405,Active,0
406,Active,0
407,Paid,0
408,Active,0
409,Active,0
410,Active,0
411,Paid,0
412,Paid,0
413,Paid,0
414,Active,0
415,Paid,0
416,Active,0
417,Active,0
418,Paid,0
419,Default,1
420,Paid,0
421,Active,0
422,Active,0
423,Paid,0
424,Active,0
425,Active,0
426,Active,0
427,Paid,0
428,Paid,0
429,Active,0
430,Paid,0
431,Paid,0
432,Default,1
433,Active,0
434,Active,0
435,Active,0
436,Active,0
437,Default,1
438,Default,1
439,Active,0
440,Active,0
441,Default,1
442,Active,0
443,Active,0
444,Active,0
445,Paid,0
446,Active,0
447,Paid,0
448,Active,0
449,Paid,0
450,Active,0
451,Paid,0
452,Active,0
453,Paid,0
454,Paid,0
455,Active,0
456,Default,1
457,Paid,0
458,Paid,0
459,Active,0
460,Paid,0
461,Active,0
462,Active,0
463,Default,1
464,Active,0
465,Paid,0
466,Paid,0
467,Active,0
468,Active,0
469,Active,0
470,Active,0
471,Active,0
472,Active,0
473,Active,0
474,Default,1
475,Active,0
476,Active,0
477,Active,0
478,Paid,0
479,Paid,0
480,Paid,0
481,Paid,0
482,Active,0
483,Active,0
484,Active,0
485,Default,1
486,Paid,0
487,Active,0
488,Active,0
489,Active,0
490,Active,0
491,Paid,0
492,Active,0
493,Default,1
494,Paid,0
495,Active,0
496,Paid,0
497,Paid,0
498,Active,0
499,Active,0
500,Active,0
501,Paid,0
502,Active,0
503,Paid,0
504,Default,1
505,Active,0
506,Active,0
507,Paid,0
508,Active,0
509,Active,0
510,Active,0
511,Paid,0
512,Paid,0
513,Active,0
514,Active,0
515,Active,0
516,Default,1
517,Paid,0
518,Active,0
519,Paid,0
520,Active,0
521,Default,1
522,Active,0
523,Active,0
524,Active,0
525,Active,0
526,Paid,0
527,Active,0
528,Default,1
529,Active,0
530,Default,1
531,Active,0
532,Paid,0
533,Active,0
534,Paid,0
535,Active,0
536,Active,0
537,Active,0
538,Active,0
539,Paid,0
540,Default,1
541,Paid,0
542,Active,0
543,Active,0
544,Active,0
545,Active,0
546,Active,0
547,Active,0
548,Active,0
549,Active,0
550,Paid,0
551,Active,0
552,Active,0
553,Active,0
554,Paid,0
555,Paid,0
556,Active,0
557,Active,0
558,Active,0
559,Default,1
560,Active,0
561,Active,0
562,Active,0
563,Paid,0
564,Default,1
565,Default,1
566,Active,0
567,Active,0
568,Active,0
569,Active,0
570,Active,0
571,Active,0
572,Paid,0
573,Paid,0
574,Active,0
575,Default,1
576,Paid,0
577,Active,0
578,Default,1
579,Default,1
580,Default,1
581,Active,0
582,Active,0
583,Paid,0
584,Paid,0
585,Paid,0
586,Paid,0
587,Default,1
588,Active,0
589,Paid,0
590,Paid,0
591,Active,0
592,Active,0
593,Default,1
594,Active,0
595,Active,0
596,Default,1
597,Active,0
598,Active,0
599,Paid,0
600,Active,0
601,Active,0
602,Active,0
603,Active,0
604,Paid,0
605,Default,1
606,Paid,0
607,Paid,0
608,Active,0
609,Paid,0
610,Active,0
611,Active,0
612,Default,1
613,Paid,0
614,Default,1
615,Active,0
616,Default,1
617,Active,0
618,Active,0
619,Paid,0
620,Active,0
621,Default,1
622,Default,1
623,Active,0
624,Active,0
625,Paid,0
626,Active,0
627,Active,0
628,Paid,0
629,Active,0
630,Active,0
631,Paid,0
632,Active,0
633,Default,1
634,Active,0
635,Paid,0
636,Paid,0
637,Default,1
638,Default,1
639,Paid,0
640,Paid,0
641,Paid,0
642,Default,1
643,Paid,0
644,Active,0
645,Active,0
646,Paid,0
647,Paid,0
648,Paid,0
649,Paid,0
650,Paid,0
651,Active,0
652,Paid,0
653,Active,0
654,Paid,0
655,Paid,0
656,Paid,0
657,Paid,0
658,Active,0
659,Paid,0
660,Paid,0
661,Active,0
662,Active,0
663,Active,0
664,Paid,0
665,Active,0
666,Paid,0
667,Paid,0
668,Paid,0
669,Active,0
670,Active,0
671,Active,0
672,Paid,0
673,Active,0
674,Default,1
675,Active,0
676,Paid,0
677,Active,0
678,Paid,0
679,Active,0
680,Active,0
681,Default,1
682,Active,0
683,Active,0
684,Paid,0
685,Active,0
686,Active,0
687,Active,0
688,Active,0
689,Paid,0
690,Active,0
691,Default,1
692,Active,0
693,Default,1
694,Paid,0
695,Active,0
696,Default,1
697,Active,0
698,Paid,0
699,Active,0
700,Active,0
701,Active,0
702,Active,0
703,Active,0
704,Paid,0
705,Active,0
706,Active,0
707,Active,0
708,Default,1
709,Active,0
710,Active,0
711,Active,0
712,Active,0
713,Default,1
714,Active,0
715,Active,0
716,Paid,0
717,Paid,0
718,Paid,0
719,Active,0
720,Active,0
721,Active,0
722,Paid,0
723,Paid,0
724,Default,1
725,Default,1
726,Active,0
727,Active,0
728,Active,0
729,Active,0
730,Default,1
731,Active,0
732,Active,0
733,Paid,0
734,Default,1
735,Active,0
736,Active,0
737,Active,0
738,Active,0
739,Active,0
740,Active,0
741,Active,0
742,Active,0
743,Paid,0
744,Active,0
745,Paid,0
746,Paid,0
747,Active,0
748,Paid,0
749,Paid,0
750,Active,0
751,Active,0
752,Active,0
753,Active,0
754,Paid,0
755,Active,0
756,Active,0
757,Active,0
758,Active,0
759,Paid,0
760,Active,0
761,Active,0
762,Active,0
763,Active,0
764,Active,0
765,Paid,0
766,Active,0
767,Paid,0
768,Default,1
769,Active,0
770,Active,0
771,Paid,0
772,Active,0
773,Paid,0
774,Paid,0
775,Active,0
776,Paid,0
777,Active,0
778,Active,0
779,Active,0
780,Default,1
781,Default,1
782,Active,0
783,Paid,0
784,Default,1
785,Default,1
786,Paid,0
787,Active,0
788,Active,0
789,Paid,0
790,Active,0
791,Default,1
792,Active,0
793,Active,0
794,Active,0
795,Paid,0
796,Active,0
797,Active,0
798,Active,0
799,Active,0
800,Active,0
801,Paid,0
802,Active,0
803,Active,0
804,Paid,0
805,Active,0
806,Paid,0
807,Active,0
808,Default,1
809,Paid,0
810,Paid,0
811,Active,0
812,Active,0
813,Default,1
814,Active,0
815,Active,0
816,Active,0
817,Active,0
818,Paid,0
819,Paid,0
820,Active,0
821,Paid,0
822,Active,0
823,Active,0
824,Default,1
825,Paid,0
826,Active,0
827,Active,0
828,Paid,0
829,Active,0
830,Default,1
831,Active,0
832,Paid,0
833,Active,0
834,Paid,0
835,Active,0
836,Paid,0
837,Default,1
838,Paid,0
839,Paid,0
840,Active,0
841,Paid,0
842,Default,1
843,Active,0
844,Active,0
845,Paid,0
846,Active,0
847,Active,0
848,Active,0
849,Active,0
850,Active,0
851,Paid,0
852,Active,0
853,Active,0
854,Active,0
855,Active,0
856,Paid,0
857,Active,0
858,Active,0
859,Active,0
860,Default,1
861,Active,0
862,Paid,0
863,Active,0
864,Active,0
865,Paid,0
866,Default,1
867,Paid,0
868,Paid,0
869,Active,0
870,Paid,0
871,Active,0
872,Active,0
873,Default,1
874,Default,1
875,Active,0
876,Paid,0
877,Paid,0
878,Active,0
879,Active,0
880,Default,1
881,Default,1
882,Paid,0
883,Active,0
884,Active,0
885,Paid,0
886,Active,0
887,Paid,0
888,Paid,0
889,Active,0
890,Default,1
891,Active,0
892,Default,1
893,Active,0
894,Active,0
895,Active,0
896,Default,1
897,Paid,0
898,Active,0
899,Paid,0
900,Active,0
901,Default,1
902,Active,0
903,Active,0
904,Active,0
905,Active,0
906,Active,0
907,Active,0
908,Paid,0
909,Paid,0
910,Active,0
911,Paid,0
912,Active,0
913,Active,0
914,Active,0
915,Active,0
916,Paid,0
917,Active,0
918,Paid,0
919,Active,0
920,Active,0
921,Active,0
922,Active,0
923,Active,0
924,Paid,0
925,Default,1
926,Default,1
927,Default,1
928,Active,0
929,Paid,0
930,Active,0
931,Default,1
932,Active,0
933,Paid,0
934,Active,0
935,Active,0
936,Paid,0
937,Active,0
938,Paid,0
939,Paid,0
940,Active,0
941,Active,0
942,Active,0
943,Paid,0
944,Active,0
945,Active,0
946,Active,0
947,Paid,0
948,Active,0
949,Paid,0
950,Active,0
951,Active,0
952,Paid,0
953,Active,0
954,Active,0
955,Default,1
956,Paid,0
957,Active,0
958,Active,0
959,Paid,0
960,Default,1
961,Paid,0
962,Paid,0
963,Active,0
964,Default,1
965,Paid,0
966,Paid,0
967,Default,1
968,Paid,0
969,Active,0
970,Active,0
971,Active,0
972,Paid,0
973,Paid,0
974,Active,0
975,Active,0
976,Paid,0
977,Active,0
978,Paid,0
979,Active,0
980,Active,0
981,Paid,0
982,Active,0
983,Default,1
984,Default,1
985,Paid,0
986,Active,0
987,Paid,0
988,Active,0
989,Active,0
990,Active,0
991,Paid,0
992,Paid,0
993,Paid,0
994,Active,0
995,Paid,0
996,Paid,0
997,Paid,0
998,Active,0
999,Active,0
1000,Paid,0
1001,Paid,0
1002,Paid,0
1003,Active,0
1004,Paid,0
1005,Active,0
1006,Active,0
1007,Paid,0
1008,Active,0
1009,Default,1
1010,Active,0
1011,Paid,0
1012,Active,0
1013,Active,0
1014,Paid,0
1015,Active,0
1016,Active,0
1017,Paid,0
1018,Active,0
1019,Active,0
1020,Active,0
1021,Active,0
1022,Active,0
1023,Active,0
1024,Active,0
1025,Default,1
1026,Active,0
1027,Paid,0
1028,Active,0
1029,Active,0
1030,Paid,0
1031,Paid,0
1032,Active,0
1033,Active,0
1034,Paid,0
1035,Paid,0
1036,Paid,0
1037,Paid,0
1038,Paid,0
1039,Active,0
1040,Active,0
1041,Paid,0
1042,Default,1
1043,Paid,0
1044,Active,0
1045,Active,0
1046,Active,0
1047,Active,0
1048,Active,0
1049,Active,0
1050,Active,0
1051,Paid,0
1052,Active,0
1053,Active,0
1054,Active,0
1055,Active,0
1056,Active,0
1057,Active,0
1058,Paid,0
1059,Active,0
1060,Active,0
1061,Active,0
