loan_id,customer_id,loan_type,loan_amount,interest_rate,loan_term,issue_date
1,14486,Auto Loan,2740491,12.83,120,2021-05-22
2,13906,Personal Loan,3052790,15.57,24,2015-04-14
3,4426,Home Loan,2583558,8.67,12,2016-12-15
4,3224,Education Loan,3871997,17.87,120,2017-03-02
5,16032,Home Loan,3825532,9.83,120,2017-07-16
6,14006,Personal Loan,3800514,11.51,120,2018-10-11
7,18037,Auto Loan,1628979,8.66,120,2022-03-22
8,1998,Personal Loan,1833940,9.82,240,2022-05-21
9,11735,Education Loan,1121854,17.63,24,2015-07-09
10,12064,Home Loan,4071354,11.2,240,2024-11-30
11,12591,Education Loan,2434692,6.73,12,2021-04-22
12,12793,Education Loan,1334231,11.89,60,2020-02-21
13,19148,Education Loan,3238976,16.39,36,2017-08-18
14,13865,Auto Loan,2367242,13.69,24,2021-04-02
15,8536,Personal Loan,3960728,11.86,120,2016-07-11
16,16418,Personal Loan,3586731,17.07,120,2024-09-17
17,2095,Education Loan,4734454,11.96,240,2021-09-07
18,17680,Personal Loan,1325445,6.52,120,2023-08-14
19,17842,Personal Loan,965799,10.73,36,2021-01-09
20,11657,Personal Loan,4287911,16.92,24,2017-04-10
21,2412,Personal Loan,3652031,7.31,24,2023-08-09
22,946,Home Loan,4395523,13.4,240,2015-02-03
23,8884,Education Loan,3092764,11.87,120,2024-09-19
24,7626,Home Loan,1836598,14.47,120,2022-12-29
25,3585,Education Loan,3309617,8.2,24,2022-07-31
26,1287,Education Loan,3198790,17.6,240,2023-02-24
27,4319,Personal Loan,419062,14.56,60,2022-02-09
28,11149,Home Loan,1045315,10.57,240,2017-02-02
29,506,Home Loan,4431633,8.28,36,2018-09-21
30,17208,Education Loan,4265506,6.91,60,2019-11-22
31,16912,Personal Loan,3107546,6.38,12,2016-03-09
32,19734,Personal Loan,951543,6.88,240,2020-10-21
33,14598,Auto Loan,3415012,16.6,12,2016-04-20
34,8309,Home Loan,320918,15.21,60,2016-09-18
35,6145,Home Loan,1862061,7.5,24,2015-06-01
36,7899,Auto Loan,2889846,16.29,240,2023-12-12
37,5580,Auto Loan,1819582,11.45,36,2019-08-31
38,12482,Education Loan,3845230,16.53,120,2015-11-25
39,7205,Auto Loan,1025409,12.36,60,2019-10-03
40,14026,Home Loan,2901069,10.16,24,2016-07-29
41,7185,Auto Loan,2532388,7.73,36,2021-12-21
42,6,Education Loan,3398131,11.12,24,2023-01-18
43,17620,Auto Loan,4967254,7.35,24,2018-11-13
44,3721,Education Loan,2529521,12.87,24,2015-11-25
45,17553,Personal Loan,4224330,15.88,240,2023-04-21
46,14739,Auto Loan,4399719,10.48,36,2020-05-08
47,12337,Auto Loan,3578333,9.18,12,2020-04-03
48,3585,Home Loan,1683340,8.91,12,2022-01-20
49,15084,Personal Loan,2719102,6.79,60,2020-02-21
50,38,Auto Loan,1287454,13.94,24,2019-03-27
51,18980,Auto Loan,4433150,8.38,12,2016-09-19
52,19226,Home Loan,4296217,15.73,120,2015-06-09
53,8496,Home Loan,1412570,14.81,12,2024-03-21
54,11105,Personal Loan,1846720,14.73,60,2024-05-01
55,8360,Auto Loan,4622277,15.02,240,2020-02-12
56,5832,Education Loan,3411390,7.43,24,2020-09-01
57,9399,Auto Loan,557474,14.17,12,2023-02-08
58,2452,Auto Loan,1093503,6.27,60,2021-07-13
59,17661,Education Loan,4568596,7.73,60,2017-06-22
60,12199,Home Loan,65262,9.64,120,2023-06-05
61,16360,Auto Loan,3196634,12.4,36,2020-05-15
62,18908,Home Loan,4937497,11.47,120,2017-01-09
63,19805,Personal Loan,767180,16.97,12,2024-11-03
64,8153,Education Loan,210609,14.96,240,2020-11-05
65,17498,Home Loan,4022833,6.35,240,2018-06-08
66,12232,Education Loan,2662194,11.32,12,2017-11-21
67,12382,Auto Loan,1535089,9.4,120,2017-08-13
68,15677,Home Loan,4297738,16.35,60,2022-06-22
69,884,Personal Loan,1852154,14.69,24,2019-10-31
70,13625,Personal Loan,243686,12.79,120,2016-03-18
71,4161,Home Loan,560382,11.58,120,2020-09-13
72,1436,Auto Loan,2039853,9.4,36,2021-04-28
73,5645,Home Loan,2045329,7.65,12,2017-10-18
74,9961,Education Loan,1892122,9.52,60,2017-02-27
75,10901,Education Loan,1247276,9.65,24,2015-01-16
76,19925,Education Loan,3817121,9.01,120,2022-09-15
77,19851,Auto Loan,3888847,11.43,12,2019-09-19
78,603,Home Loan,3447265,10.41,36,2015-05-13
79,15557,Home Loan,3736055,12.87,60,2022-07-22
80,10253,Personal Loan,3326122,13.68,12,2016-05-26
81,17320,Home Loan,1499496,6.91,120,2015-01-22
82,15905,Personal Loan,3646318,16.54,36,2023-09-09
83,8122,Home Loan,2964350,13.13,36,2020-11-04
84,4547,Auto Loan,4483733,9.52,240,2016-11-22
85,1584,Personal Loan,3202056,7.0,36,2019-12-29
86,13271,Auto Loan,1833000,11.89,240,2020-07-26
87,646,Home Loan,2135531,7.99,36,2020-09-04
88,1355,Home Loan,3063012,12.51,12,2020-04-24
89,7975,Auto Loan,449963,9.42,240,2024-04-02
90,7405,Auto Loan,2765119,11.71,240,2021-08-13
91,12197,Personal Loan,1060919,10.49,24,2015-09-29
92,14707,Personal Loan,1990924,11.26,36,2016-08-12
93,646,Education Loan,3515729,7.07,24,2024-03-24
94,17042,Home Loan,2357255,13.79,24,2019-03-11
95,5057,Personal Loan,1762255,9.16,60,2015-02-27
96,15796,Home Loan,322870,16.04,12,2021-01-18
97,1547,Auto Loan,927494,8.97,12,2021-02-25
98,7402,Auto Loan,265574,9.44,36,2021-06-26
99,16379,Personal Loan,315139,6.9,24,2019-05-14
100,18629,Home Loan,1060570,14.32,120,2015-12-15
101,6168,Personal Loan,279338,7.25,120,2020-09-14
102,19522,Auto Loan,1341138,17.9,240,2024-04-13
103,7920,Auto Loan,3469682,16.22,24,2018-01-10
104,17187,Home Loan,3991723,11.92,36,2015-06-02
105,1250,Personal Loan,782367,8.88,36,2017-02-21
106,10754,Personal Loan,2670486,7.0,12,2022-09-30
107,10892,Personal Loan,749202,6.89,60,2024-10-15
108,6066,Personal Loan,3381500,6.14,36,2021-09-03
109,10019,Auto Loan,4365615,12.5,240,2024-03-01
110,12125,Education Loan,180616,9.15,24,2015-11-08
111,6917,Personal Loan,2481389,11.4,12,2017-11-02
112,18795,Auto Loan,3147044,13.58,12,2024-06-17
113,12859,Personal Loan,1440675,13.62,24,2024-12-25
114,10422,Auto Loan,1209201,11.54,120,2024-08-10
115,4711,Auto Loan,4062152,8.45,36,2020-08-08
116,16077,Personal Loan,2106882,16.67,60,2016-09-15
117,12575,Auto Loan,3867498,7.17,24,2022-12-27
118,4377,Home Loan,2358079,10.66,12,2024-05-16
119,18027,Personal Loan,4336020,15.48,60,2015-07-17
120,8895,Personal Loan,495706,12.01,24,2017-05-24
121,12853,Auto Loan,281278,9.37,36,2020-05-06
